name,club,season,position,overall,nationality
Alberto Perea Correoso,Cádiz CF,2020/21,LW,69,Spain
Yevhen Seleznyov,Málaga CF,2020/21,ST,72,Ukraine
Bruno Soriano Llido,Villarreal CF,2020/21,CM,76,Spain
Juan Manuel Vargas,Real Betis,2020/21,LB,76,Peru
Mehdi Lacen,Málaga CF,2020/21,CDM,69,Algeria
Imanol Agirretxe Arruti,Real Sociedad,2020/21,ST,74,Spain
Jerónimo Figueroa Cabrera,UD Las Palmas,2020/21,LW,68,Spain
Mariano Barbosa,Villarreal CF,2020/21,GK,75,Argentina
Gorka Iraizoz Moreno,Girona FC,2020/21,GK,75,Spain
Jerzy Dudek,Real Madrid,2020/21,GK,72,Poland
José Manuel Pinto Colorado,FC Barcelona,2020/21,GK,72,Spain
Nilmar Honorato da Silva,Villarreal CF,2020/21,ST,83,Brazil
Juan Carlos Valerón Santana,UD Las Palmas,2020/21,CAM,74,Spain
José Salinas Morán,Elche CF,2020/21,LB,59,Spain
Leo Román Riquelme,RCD Mallorca,2020/21,GK,63,Spain
Marc Baró Ortiz,Cádiz CF,2020/21,LB,61,Spain
Carlos Martínez Ruiz,Girona FC,2020/21,ST,63,Spain
Aymane Mourid,CD Leganés,2020/21,CDM,58,Morocco
Daniel Plomer Gordillo,Granada CF,2020/21,LW,59,Spain
Gorka Zabarte Moreno,CA Osasuna,2020/21,CB,60,Spain
Mourad Daoudi El Ghezouani,Elche CF,2020/21,ST,59,Morocco
Iñaki Álvarez Goñi,CA Osasuna,2020/21,GK,63,Spain
Sabit Abdulai,Getafe CF,2020/21,CDM,60,Ghana
Tomás Bourdal,Deportivo de La Coruña,2020/21,CB,61,Argentina
Adrián Rodríguez Giménez,Deportivo Alavés,2020/21,GK,60,Argentina
Toni Datković,SD Huesca,2020/21,CB,65,Croatia
David Ballarin Correas,SD Huesca,2020/21,ST,62,Spain
Guillermo Amor Torres,Getafe CF,2020/21,CM,58,Spain
Manuel Justo Román,RC Celta,2020/21,RW,62,Spain
Miguel Marí Sánchez,SD Eibar,2020/21,CM,62,Spain
Francisco José Navarro Aliaga,Valencia CF,2020/21,ST,63,Spain
Mikel Carro Fandiño,Atlético Madrid,2020/21,CM,64,Spain
Javier Almerge Viñuales,SD Huesca,2020/21,RB,59,Spain
Ángel Algobia Esteves,Getafe CF,2020/21,CM,59,Spain
Rubén Enri Garcia,UD Almería,2020/21,ST,61,Spain
Gonzalo Caicedo Verdú,Elche CF,2020/21,CB,67,Spain
Javier López Vegara,Elche CF,2020/21,CM,58,Spain
Francesc Regis Crespí,SD Eibar,2020/21,ST,64,Spain
Pablo Martínez Andrés,Levante UD,2020/21,CM,62,Spain
Alejandro Robles García,Málaga CF,2020/21,RB,65,Spain
Gonzalo Pereira Cejudo,Levante UD,2020/21,CB,63,Spain
Luis Perea Hernández,CD Leganés,2020/21,CDM,66,Spain
Angel Sánchez Baro,RCD Espanyol,2020/21,LW,60,Spain
Edoardo Soleri,UD Almería,2020/21,ST,63,Italy
Marc Vito Brezmes,Girona FC,2020/21,GK,56,Spain
Oleksiy Gutsulyak,Villarreal CF,2020/21,LW,61,Ukraine
Aleksandar Jovanović,SD Huesca,2020/21,GK,66,Serbia
Raúl Uche Rubio,Real Valladolid CF,2020/21,ST,58,Spain
Javier López Abadías,SD Huesca,2020/21,CDM,58,Spain
Miquel Parera Pizá,RCD Mallorca,2020/21,GK,67,Spain
Yhoan Andzouana,Girona FC,2020/21,LW,63,Congo
Juan Manuel Pérez Ruiz,CA Osasuna,2020/21,GK,62,Spain
David Gil Mohedano,Cádiz CF,2020/21,GK,66,Spain
Eneko Capilla González,Real Sociedad,2020/21,CAM,67,Spain
Ignacio Monsalve Vicente,Deportivo de La Coruña,2020/21,CB,66,Spain
Iñigo De Frutos Guerrero,CA Osasuna,2020/21,LB,62,Spain
Pablo Pérez Rodríguez,Real Sporting de Gijón,2020/21,CAM,66,Spain
Daniel Molina Orta,RC Celta,2020/21,CDM,64,Spain
Sergio Dueñas Ruiz,RCD Mallorca,2020/21,RW,61,Spain
Cristian López Santamaría,UD Las Palmas,2020/21,ST,69,Spain
David Gómez Vazquez,Elche CF,2020/21,GK,61,Spain
Javier García-Noblejas,Real Sporting de Gijón,2020/21,LB,65,Spain
Rubén Díaz Jiménez,Real Valladolid CF,2020/21,ST,56,Spain
Alejandro Rubio Brito,Sevilla FC,2020/21,ST,58,Spain
Sebastià Sastre Catalá,RC Celta,2020/21,CAM,66,Spain
Flávio Nunes Ferreira,Málaga CF,2020/21,CB,74,Portugal
Jonathan Ñíguez Esclápez,Elche CF,2020/21,CDM,66,Spain
José Raúl Baena Urdiales,Granada CF,2020/21,CDM,70,Spain
Alejandro Cruz Rodríguez,Granada CF,2020/21,RW,65,Spain
Jagoba Beobide Larrañaga,Deportivo Alavés,2020/21,CDM,64,Spain
David Rodriguez Lombán,Málaga CF,2020/21,CB,66,Spain
Marc Valiente Hernández,Real Sporting de Gijón,2020/21,CB,69,Spain
Aarón Ñíguez Esclápez,Málaga CF,2020/21,RW,69,Spain
Felipe Ramos Sánchez,Deportivo de La Coruña,2020/21,GK,60,Spain
Benoît Trémoulinas,Sevilla FC,2020/21,LB,81,France
Khalifa Sankaré,Cádiz CF,2020/21,CB,71,Senegal
Weligton Robson Pena de Oliveira,Málaga CF,2020/21,CB,75,Brazil
Gorka Elustondo Urkola,Rayo Vallecano,2020/21,CM,71,Spain
Henrique Sereno Fonseca,UD Almería,2020/21,CB,71,Portugal
Jordi Gómez García-Penche,Rayo Vallecano,2020/21,CM,71,Spain
Cecilio Nauzet Pérez González,UD Las Palmas,2020/21,GK,71,Spain
David Cobeño Iglesias,Rayo Vallecano,2020/21,GK,69,Spain
Francisco José Molinero Calderón,Real Sporting de Gijón,2020/21,CB,71,Spain
Iván De la Peña López,RCD Espanyol,2020/21,CAM,73,Spain
Sergio Mora Sánchez,Getafe CF,2020/21,CDM,70,Spain
Asier Riesgo Unamuno,CD Leganés,2020/21,GK,71,Spain
Borja Fernández Fernández,Real Valladolid CF,2020/21,CDM,69,Spain
Francisco Campos Coll,RCD Mallorca,2020/21,CB,68,Spain
Nery Castillo,Rayo Vallecano,2020/21,ST,68,Mexico
Sergio García de la Fuente,RCD Espanyol,2020/21,ST,77,Spain
Sergio Paulo Barbosa Valente,Málaga CF,2020/21,CAM,72,Portugal
Daniele Bonera,Villarreal CF,2020/21,CB,75,Italy
Manuel Pablo García Díaz,Deportivo de La Coruña,2020/21,RB,67,Spain
Ruud van Nistelrooy,Málaga CF,2020/21,ST,77,Netherlands
J. Oblak,Atlético de Madrid,2021/22,GK,91,Slovenia
M. ter Stegen,FC Barcelona,2021/22,GK,90,Germany
K. Benzema,Real Madrid CF,2021/22,ST,89,France
T. Courtois,Real Madrid CF,2021/22,GK,89,Belgium
Casemiro,Real Madrid CF,2021/22,CDM,89,Brazil
L. Suárez,Atlético de Madrid,2021/22,ST,88,Uruguay
T. Kroos,Real Madrid CF,2021/22,CM,88,Germany
S. Agüero,FC Barcelona,2021/22,ST,87,Argentina
L. Modrić,Real Madrid CF,2021/22,CM,87,Croatia
F. de Jong,FC Barcelona,2021/22,CM,87,Netherlands
Jordi Alba,FC Barcelona,2021/22,LB,86,Spain
Sergio Busquets,FC Barcelona,2021/22,CDM,86,Spain
Parejo,Villarreal CF,2021/22,CM,86,Spain
Gerard Moreno,Villarreal CF,2021/22,ST,86,Spain
Marcos Llorente,Atlético de Madrid,2021/22,CM,86,Spain
A. Gómez,Sevilla FC,2021/22,CAM,85,Argentina
David Silva,Real Sociedad,2021/22,CAM,85,Spain
E. Hazard,Real Madrid CF,2021/22,LW,85,Belgium
Koke,Atlético de Madrid,2021/22,CM,85,Spain
A. Griezmann,Atlético de Madrid,2021/22,ST,85,France
M. Depay,FC Barcelona,2021/22,ST,85,Netherlands
Carvajal,Real Madrid CF,2021/22,RB,85,Spain
Oyarzabal,Real Sociedad,2021/22,LW,85,Spain
Jesús Navas,Sevilla FC,2021/22,RB,84,Spain
Piqué,FC Barcelona,2021/22,CB,84,Spain
Fernando,Sevilla FC,2021/22,CDM,84,Brazil
K. Trippier,Atlético de Madrid,2021/22,RB,84,England
Iago Aspas,RC Celta de Vigo,2021/22,ST,84,Spain
D. Alaba,Real Madrid CF,2021/22,CB,84,Austria
S. Savić,Atlético de Madrid,2021/22,CB,84,Montenegro
Felipe,Atlético de Madrid,2021/22,CB,84,Brazil
Y. Carrasco,Atlético de Madrid,2021/22,LW,84,Belgium
J. Giménez,Atlético de Madrid,2021/22,CB,84,Uruguay
N. Fekir,Real Betis Balompié,2021/22,CAM,84,France
M. Acuña,Sevilla FC,2021/22,LB,84,Argentina
Sergio Asenjo,Villarreal CF,2021/22,GK,83,Spain
Muniain,Athletic Club de Bilbao,2021/22,CAM,83,Spain
Canales,Real Betis Balompié,2021/22,CM,83,Spain
L. Ocampos,Sevilla FC,2021/22,LW,83,Argentina
Gayà,Valencia CF,2021/22,LB,83,Spain
T. Lemar,Atlético de Madrid,2021/22,LW,83,France
Á. Correa,Atlético de Madrid,2021/22,ST,83,Argentina
Marco Asensio,Real Madrid CF,2021/22,RW,83,Spain
Merino,Real Sociedad,2021/22,CM,83,Spain
F. Mendy,Real Madrid CF,2021/22,LB,83,France
O. Dembélé,FC Barcelona,2021/22,RW,83,France
F. Valverde,Real Madrid CF,2021/22,CM,83,Uruguay
J. Koundé,Sevilla FC,2021/22,CB,83,France
João Félix,Atlético de Madrid,2021/22,ST,83,Portugal
Raúl Albiol,Villarreal CF,2021/22,CB,82,Spain
I. Rakitić,Sevilla FC,2021/22,CM,82,Croatia
G. Bale,Real Madrid CF,2021/22,RW,82,Wales
Yuri Berchiche,Athletic Club de Bilbao,2021/22,LB,82,Spain
Coutinho,FC Barcelona,2021/22,CAM,82,Brazil
Neto,FC Barcelona,2021/22,GK,82,Brazil
Isco,Real Madrid CF,2021/22,CAM,82,Spain
Campaña,Levante Unión Deportiva,2021/22,CM,82,Spain
Gabriel Paulista,Valencia CF,2021/22,CB,82,Brazil
Suso,Sevilla FC,2021/22,RW,82,Spain
Portu,Real Sociedad,2021/22,RW,82,Spain
Y. Bounou,Sevilla FC,2021/22,GK,82,Morocco
R. De Paul,Atlético de Madrid,2021/22,CM,82,Argentina
Diego Carlos,Sevilla FC,2021/22,CB,82,Brazil
C. Lenglet,FC Barcelona,2021/22,CB,82,France
Mario Hermoso,Atlético de Madrid,2021/22,CB,82,Spain
Unai Simón,Athletic Club de Bilbao,2021/22,GK,82,Spain
A. Isak,Real Sociedad,2021/22,ST,82,Sweden
Y. En-Nesyri,Sevilla FC,2021/22,ST,82,Morocco
Éder Militão,Real Madrid CF,2021/22,CB,82,Brazil
Pau Torres,Villarreal CF,2021/22,CB,82,Spain
Joaquín,Real Betis Balompié,2021/22,RW,81,Spain
H. Herrera,Atlético de Madrid,2021/22,CM,81,Mexico
T. Delaney,Sevilla FC,2021/22,CDM,81,Denmark
Aitor,Levante Unión Deportiva,2021/22,GK,81,Spain
Sergi Roberto,FC Barcelona,2021/22,RB,81,Spain
J. Cillessen,Valencia CF,2021/22,GK,81,Netherlands
Paco Alcácer,Villarreal CF,2021/22,ST,81,Spain
Nacho Fernández,Real Madrid CF,2021/22,CB,81,Spain
Iñigo Martínez,Athletic Club de Bilbao,2021/22,CB,81,Spain
A. Januzaj,Real Sociedad,2021/22,RW,81,Belgium
Lucas Vázquez,Real Madrid CF,2021/22,RW,81,Spain
Rui Silva,Real Betis Balompié,2021/22,GK,81,Portugal
D. Machís,Granada CF,2021/22,LW,81,Venezuela
Iñaki Williams,Athletic Club de Bilbao,2021/22,ST,81,Spain
Morales,Levante Unión Deportiva,2021/22,ST,81,Spain
D. Djené,Getafe CF,2021/22,CB,81,Togo
David Soria,Getafe CF,2021/22,GK,81,Spain
Gonçalo Guedes,Valencia CF,2021/22,LW,81,Portugal
Álex Remiro,Real Sociedad,2021/22,GK,81,Spain
Yeray,Athletic Club de Bilbao,2021/22,CB,81,Spain
Carlos Soler,Valencia CF,2021/22,CM,81,Spain
Renan Lodi,Atlético de Madrid,2021/22,LB,81,Brazil
Pedri,FC Barcelona,2021/22,CM,81,Spain
Raúl García,Athletic Club de Bilbao,2021/22,ST,80,Spain
D. Wass,Valencia CF,2021/22,RB,80,Denmark
Marcelo,Real Madrid CF,2021/22,LB,80,Brazil
Nacho Monreal,Real Sociedad,2021/22,LB,80,Spain
F. Coquelin,Villarreal CF,2021/22,CM,80,France
Bartra,Real Betis Balompié,2021/22,CB,80,Spain
A. Mandi,Villarreal CF,2021/22,CB,80,Algeria
Š. Vrsaljko,Atlético de Madrid,2021/22,RB,80,Croatia
S. Umtiti,FC Barcelona,2021/22,CB,80,France
Roger,Levante Unión Deportiva,2021/22,ST,80,Spain
Pacheco,Deportivo Alavés,2021/22,GK,80,Spain
G. Rulli,Villarreal CF,2021/22,GK,80,Argentina
Capa,Athletic Club de Bilbao,2021/22,RB,80,Spain
Embarba,RCD Espanyol de Barcelona,2021/22,RW,80,Spain
Borja Iglesias,Real Betis Balompié,2021/22,ST,80,Spain
Joan Jordán,Sevilla FC,2021/22,CM,80,Spain
Álex Berenguer,Athletic Club de Bilbao,2021/22,RW,80,Spain
M. Dmitrović,Sevilla FC,2021/22,GK,80,Serbia
Vinícius Jr.,Real Madrid CF,2021/22,LW,80,Brazil
M. Gómez,Valencia CF,2021/22,ST,80,Uruguay
Unai Núñez,Athletic Club de Bilbao,2021/22,CB,80,Spain
Montoro,Granada CF,2021/22,CDM,79,Spain
Iborra,Villarreal CF,2021/22,CDM,79,Spain
L. de Jong,FC Barcelona,2021/22,ST,79,Netherlands
Illarramendi,Real Sociedad,2021/22,CDM,79,Spain
Mario Gaspar,Villarreal CF,2021/22,RB,79,Spain
N. Gudelj,Sevilla FC,2021/22,CDM,79,Serbia
Germán,Granada CF,2021/22,CB,79,Spain
Lucas Pérez,Elche CF,2021/22,ST,79,Spain
Cristian Tello,Real Betis Balompié,2021/22,LW,79,Spain
B. Lecomte,Atlético de Madrid,2021/22,GK,79,France
G. Kondogbia,Atlético de Madrid,2021/22,CM,79,Central African Republic
Sergi Darder,RCD Espanyol de Barcelona,2021/22,CM,79,Spain
Edgar Badia,Elche CF,2021/22,GK,79,Spain
S. Arias,Granada CF,2021/22,RB,79,Colombia
Manu Trigueros,Villarreal CF,2021/22,CM,79,Spain
De Tomás,RCD Espanyol de Barcelona,2021/22,ST,79,Spain
Rubén García,CA Osasuna,2021/22,LW,79,Spain
Rubén Peña,Villarreal CF,2021/22,RB,79,Spain
Munir,Sevilla FC,2021/22,LW,79,Morocco
R. Tapia,RC Celta de Vigo,2021/22,CDM,79,Peru
Mata,Getafe CF,2021/22,ST,79,Spain
Aritz Elustondo,Real Sociedad,2021/22,CB,79,Spain
E. Ávila,CA Osasuna,2021/22,ST,79,Argentina
L. Jović,Real Madrid CF,2021/22,ST,79,Serbia
M. Arambarri,Getafe CF,2021/22,CDM,79,Uruguay
Zubeldia,Real Sociedad,2021/22,CB,79,Spain
E. Bardhi,Levante Unión Deportiva,2021/22,LW,79,North Macedonia
P. Estupiñán,Villarreal CF,2021/22,LB,79,Ecuador
N. Maksimović,Getafe CF,2021/22,CDM,79,Serbia
Matheus Cunha,Atlético de Madrid,2021/22,CAM,79,Brazil
Rodrygo,Real Madrid CF,2021/22,RW,79,Brazil
Negredo,Cádiz CF,2021/22,ST,78,Spain
Falcao,Rayo Vallecano,2021/22,ST,78,Colombia
E. Lamela,Sevilla FC,2021/22,RW,78,Argentina
A. Guardado,Real Betis Balompié,2021/22,CDM,78,Mexico
C. Bravo,Real Betis Balompié,2021/22,GK,78,Chile
Ángel,RCD Mallorca,2021/22,ST,78,Spain
E. Capoue,Villarreal CF,2021/22,CM,78,France
A. Budimir,CA Osasuna,2021/22,ST,78,Croatia
J. Pastore,Elche CF,2021/22,CAM,78,Argentina
Kike García,CA Osasuna,2021/22,ST,78,Spain
Escudero,Granada CF,2021/22,LB,78,Spain
Jaume Costa,RCD Mallorca,2021/22,LB,78,Spain
Víctor Ruiz,Real Betis Balompié,2021/22,CB,78,Spain
Laguardia,Deportivo Alavés,2021/22,CB,78,Spain
Vitolo,Getafe CF,2021/22,LW,78,Spain
Héctor Bellerín,Real Betis Balompié,2021/22,RB,78,Spain
D. Suárez,Getafe CF,2021/22,RB,78,Uruguay
Denis Suárez,RC Celta de Vigo,2021/22,CM,78,Spain
Moi Gómez,Villarreal CF,2021/22,LW,78,Spain
Roberto Torres,CA Osasuna,2021/22,RW,78,Spain
William Carvalho,Real Betis Balompié,2021/22,CDM,78,Portugal
Puertas,Granada CF,2021/22,RW,78,Spain
Dani García,Athletic Club de Bilbao,2021/22,CM,78,Spain
Álex Moreno,Real Betis Balompié,2021/22,LB,78,Spain
Sergio Herrera,CA Osasuna,2021/22,GK,78,Spain
David García,CA Osasuna,2021/22,CB,78,Spain
G. Rodríguez,Real Betis Balompié,2021/22,CDM,78,Argentina
G. Montiel,Sevilla FC,2021/22,RB,78,Argentina
R. Le Normand,Real Sociedad,2021/22,CB,78,France
Y. Herrera,RCD Espanyol de Barcelona,2021/22,CM,78,Venezuela
Domingos Duarte,Granada CF,2021/22,CB,78,Portugal
Luis Milla,Granada CF,2021/22,CDM,78,Spain
De Frutos,Levante Unión Deportiva,2021/22,RW,78,Spain
U. Račić,Valencia CF,2021/22,CM,78,Serbia
Puado,RCD Espanyol de Barcelona,2021/22,LW,78,Spain
Carlos Neva,Granada CF,2021/22,LB,78,Spain
E. Camavinga,Real Madrid CF,2021/22,CM,78,France
Diego López,RCD Espanyol de Barcelona,2021/22,GK,77,Spain
Soldado,Levante Unión Deportiva,2021/22,ST,77,Spain
Jorge Molina,Granada CF,2021/22,ST,77,Spain
Joselu,Deportivo Alavés,2021/22,ST,77,Spain
Víctor Díaz,Granada CF,2021/22,RB,77,Spain
P. Piatti,Elche CF,2021/22,RW,77,Argentina
Rochina,Granada CF,2021/22,RW,77,Spain
Aridane,CA Osasuna,2021/22,CB,77,Spain
Cote,CA Osasuna,2021/22,LB,77,Spain
De Marcos,Athletic Club de Bilbao,2021/22,RB,77,Spain
Oier,CA Osasuna,2021/22,CDM,77,Spain
L. Cabrera,RCD Espanyol de Barcelona,2021/22,CB,77,Uruguay
M. Braithwaite,FC Barcelona,2021/22,ST,77,Denmark
G. Pezzella,Real Betis Balompié,2021/22,CB,77,Argentina
Hugo Mallo,RC Celta de Vigo,2021/22,RB,77,Spain
Willian José,Real Betis Balompié,2021/22,ST,77,Brazil
F. Lejeune,Deportivo Alavés,2021/22,CB,77,France
M. Ryan,Real Sociedad,2021/22,GK,77,Australia
J. Murillo,RC Celta de Vigo,2021/22,CB,77,Colombia
David López,RCD Espanyol de Barcelona,2021/22,CB,77,Spain
Aleix Vidal,RCD Espanyol de Barcelona,2021/22,RB,77,Spain
D. Foulquier,Valencia CF,2021/22,RB,77,France
Clerc,Levante Unión Deportiva,2021/22,LB,77,Spain
C. Bacca,Granada CF,2021/22,ST,77,Colombia
Óliver Torres,Sevilla FC,2021/22,CM,77,Spain
Santi Mina,RC Celta de Vigo,2021/22,ST,77,Spain
I. Marcone,Elche CF,2021/22,CDM,77,Argentina
J. Ledesma,Cádiz CF,2021/22,GK,77,Argentina
Zaldúa,Real Sociedad,2021/22,RB,77,Spain
Unai López,Rayo Vallecano,2021/22,CM,77,Spain
Dani Ceballos,Real Madrid CF,2021/22,CM,77,Spain
Rubén Duarte,Deportivo Alavés,2021/22,LB,77,Spain
Melero,Levante Unión Deportiva,2021/22,CM,77,Spain
Pedraza,Villarreal CF,2021/22,LB,77,Spain
Rafa Mir,Sevilla FC,2021/22,ST,77,Spain
Salvi Sánchez,Cádiz CF,2021/22,RW,77,Spain
Gorosabel,Real Sociedad,2021/22,RB,77,Spain
Eric García,FC Barcelona,2021/22,CB,77,Spain
L. Suárez,Granada CF,2021/22,ST,77,Colombia
S. Chukwueze,Villarreal CF,2021/22,RW,77,Nigeria
B. Dia,Villarreal CF,2021/22,ST,77,Senegal
R. Araujo,FC Barcelona,2021/22,CB,77,Uruguay
N. Araújo,RC Celta de Vigo,2021/22,CB,76,Mexico
M. Gonalons,Granada CF,2021/22,CDM,76,France
Joel Robles,Real Betis Balompié,2021/22,GK,76,Spain
Tomás Pina,Deportivo Alavés,2021/22,CM,76,Spain
Nolito,RC Celta de Vigo,2021/22,LW,76,Spain
Sergi Gómez,RCD Espanyol de Barcelona,2021/22,CB,76,Spain
O. Yokuşlu,RC Celta de Vigo,2021/22,CDM,76,Turkey
Alberto Moreno,Villarreal CF,2021/22,LB,76,Spain
D. Cheryshev,Valencia CF,2021/22,LW,76,Russia
L. Augustinsson,Sevilla FC,2021/22,LB,76,Sweden
Rúben Vezo,Levante Unión Deportiva,2021/22,CB,76,Portugal
Y. Sabaly,Real Betis Balompié,2021/22,RB,76,Senegal
A. Sørloth,Real Sociedad,2021/22,ST,76,Norway
M. Malsa,Levante Unión Deportiva,2021/22,CM,76,France
O. Idrissi,Sevilla FC,2021/22,LW,76,Morocco
Isi,Rayo Vallecano,2021/22,RW,76,Spain
A. Ndiaye,RCD Mallorca,2021/22,LW,76,Senegal
Brais Méndez,RC Celta de Vigo,2021/22,RW,76,Spain
D. Brašanac,CA Osasuna,2021/22,CM,76,Serbia
A. Danjuma,Villarreal CF,2021/22,LW,76,Netherlands
Melendo,RCD Espanyol de Barcelona,2021/22,CAM,76,Spain
K. Bare,RCD Espanyol de Barcelona,2021/22,CDM,76,Albania
Ander Guevara,Real Sociedad,2021/22,CM,76,Spain
M. Olivera,Getafe CF,2021/22,LB,76,Uruguay
Miranda,Real Betis Balompié,2021/22,LB,76,Spain
Loren,RCD Espanyol de Barcelona,2021/22,ST,76,Spain
Riqui Puig,FC Barcelona,2021/22,CM,76,Spain
Luís Maximiano,Granada CF,2021/22,GK,76,Portugal
S. Dest,FC Barcelona,2021/22,RB,76,United States
Ansu Fati,FC Barcelona,2021/22,LW,76,Spain
Vesga,Athletic Club de Bilbao,2021/22,CM,75,Spain
Salva Sevilla,RCD Mallorca,2021/22,CDM,75,Spain
Ó. Trejo,Rayo Vallecano,2021/22,CDM,75,Argentina
Balenziaga,Athletic Club de Bilbao,2021/22,LB,75,Spain
L. Júnior,RCD Mallorca,2021/22,LW,75,Côte d'Ivoire
A. Nyom,Getafe CF,2021/22,RW,75,Cameroon
Montoya,Real Betis Balompié,2021/22,RB,75,Spain
Juanmi,Real Betis Balompié,2021/22,LW,75,Spain
Dani Rodríguez,RCD Mallorca,2021/22,CAM,75,Spain
Álex Fernández,Cádiz CF,2021/22,CAM,75,Spain
C. Piccini,Valencia CF,2021/22,RB,75,Italy
M. Dituro,RC Celta de Vigo,2021/22,GK,75,Argentina
Kévin Rodrigues,Rayo Vallecano,2021/22,LB,75,Portugal
Rubén Blanco,RC Celta de Vigo,2021/22,GK,75,Spain
S. Dimitrievski,Rayo Vallecano,2021/22,GK,75,North Macedonia
I. Amadou,Sevilla FC,2021/22,CDM,75,France
Pere Pons,Deportivo Alavés,2021/22,CM,75,Spain
Postigo,Levante Unión Deportiva,2021/22,CB,75,Spain
D. Benedetto,Elche CF,2021/22,ST,75,Argentina
Álvaro García,Rayo Vallecano,2021/22,LW,75,Spain
R. Battaglia,RCD Mallorca,2021/22,CM,75,Argentina
Jaume,Valencia CF,2021/22,GK,75,Spain
Carlos Fernández,Real Sociedad,2021/22,ST,75,Spain
N. Vukčević,Levante Unión Deportiva,2021/22,CM,75,Montenegro
Pablo Maffeo,RCD Mallorca,2021/22,RB,75,Spain
Wu Lei,RCD Espanyol de Barcelona,2021/22,ST,75,China PR
Mariano,Real Madrid CF,2021/22,ST,75,Dominican Republic
F. Cervi,RC Celta de Vigo,2021/22,LW,75,Argentina
E. Ünal,Getafe CF,2021/22,ST,75,Turkey
N. Radoja,Levante Unión Deportiva,2021/22,CM,75,Serbia
Vallejo,Real Madrid CF,2021/22,CB,75,Spain
Fali,Cádiz CF,2021/22,CB,75,Spain
Iván Alejo,Cádiz CF,2021/22,RW,75,Spain
Javi Galán,RC Celta de Vigo,2021/22,LB,75,Spain
L. Abram,Granada CF,2021/22,CB,75,Peru
Y. Eteki,Granada CF,2021/22,CDM,75,Cameroon
Fran Beltrán,RC Celta de Vigo,2021/22,CM,75,Spain
J. Foyth,Villarreal CF,2021/22,CB,75,Argentina
T. Kubo,RCD Mallorca,2021/22,RW,75,Japan
Nacho Vidal,CA Osasuna,2021/22,RB,75,Spain
Óscar,Sevilla FC,2021/22,CAM,75,Spain
J. Macías,Getafe CF,2021/22,ST,75,Mexico
Calero,RCD Espanyol de Barcelona,2021/22,CB,75,Spain
Manu Vallejo,Valencia CF,2021/22,ST,75,Spain
Martín,Deportivo Alavés,2021/22,RB,75,Spain
Adrià Pedrosa,RCD Espanyol de Barcelona,2021/22,LB,75,Spain
Unai Vencedor,Athletic Club de Bilbao,2021/22,CM,75,Spain
Moncayola,CA Osasuna,2021/22,CDM,75,Spain
Marcos André,Valencia CF,2021/22,ST,75,Brazil
Mingueza,FC Barcelona,2021/22,CB,75,Spain
G. Mamardashvili,Valencia CF,2021/22,GK,75,Georgia
Oier,RCD Espanyol de Barcelona,2021/22,GK,74,Spain
Fran Mérida,RCD Espanyol de Barcelona,2021/22,CDM,74,Spain
Juan Cala,Cádiz CF,2021/22,CB,74,Spain
Fidel,Elche CF,2021/22,LW,74,Spain
Alberto Perea,Cádiz CF,2021/22,LW,74,Spain
Iñigo Pérez,CA Osasuna,2021/22,CDM,74,Spain
Ximo Navarro,Deportivo Alavés,2021/22,RB,74,Spain
I. Balliu,Rayo Vallecano,2021/22,RB,74,Albania
K. Rekik,Sevilla FC,2021/22,CB,74,Netherlands
A. Lozano,Cádiz CF,2021/22,ST,74,Honduras
Lucas Torró,CA Osasuna,2021/22,CDM,74,Spain
Omar Mascarell,Elche CF,2021/22,CDM,74,Spain
Rubén Sobrino,Cádiz CF,2021/22,ST,74,Spain
Hernâni,Levante Unión Deportiva,2021/22,RW,74,Portugal
J. Mojica,Elche CF,2021/22,LB,74,Colombia
J. Silva,Getafe CF,2021/22,LB,74,Argentina
M. Valjent,RCD Mallorca,2021/22,CB,74,Slovakia
Hélder Costa,Valencia CF,2021/22,RW,74,Portugal
L. Boyé,Elche CF,2021/22,ST,74,Argentina
Lekue,Athletic Club de Bilbao,2021/22,RB,74,Spain
Merquelanz,Rayo Vallecano,2021/22,LW,74,Spain
Pere Milla,Elche CF,2021/22,ST,74,Spain
J. Jankto,Getafe CF,2021/22,LW,74,Czech Republic
Jorge Miramón,Levante Unión Deportiva,2021/22,RB,74,Spain
J. Aidoo,RC Celta de Vigo,2021/22,CB,74,Ghana
J. Gnagnon,Sevilla FC,2021/22,CB,74,France
Ontiveros,CA Osasuna,2021/22,LW,74,Spain
L. Dimata,RCD Espanyol de Barcelona,2021/22,ST,74,Belgium
Aleñá,Getafe CF,2021/22,CM,74,Spain
Florentino,Getafe CF,2021/22,CDM,74,Portugal
D. Lainez,Real Betis Balompié,2021/22,RW,74,Mexico
O. Alderete,Valencia CF,2021/22,CB,74,Paraguay
Aitor Ruibal,Real Betis Balompié,2021/22,RW,74,Spain
Kangin Lee,RCD Mallorca,2021/22,ST,74,Korea Republic
A. Lunin,Real Madrid CF,2021/22,GK,74,Ukraine
Barrenetxea,Real Sociedad,2021/22,LW,74,Spain
Aihen Muñoz,Real Sociedad,2021/22,LB,74,Spain
A. Espino,Cádiz CF,2021/22,LB,74,Uruguay
Thierry Correia,Valencia CF,2021/22,RB,74,Portugal
Zubimendi,Real Sociedad,2021/22,CM,74,Spain
Nico Melamed,RCD Espanyol de Barcelona,2021/22,LW,74,Spain
Bebé,Rayo Vallecano,2021/22,LW,73,Portugal
